[71, 82, 6, 97, 17, 12, 42, 36, 35, 33, 67, 72, 93, 45, 84, 75, 85, 56, 59, 74, 52, 57, 9, 44, 66, 94, 4, 98, 0, 72, 41, 28, 87, 49, 88, 62, 62, 50, 62, 52, 68, 27, 59, 68, 41, 29, 44, 52, 4, 80, 27, 3, 81, 8, 5, 78, 84, 69, 34, 52, 35, 90, 62, 30, 53, 49, 22, 1, 33, 35, 81, 95, 49, 47, 20, 56, 32, 3, 20, 55, 39, 36, 52, 69, 74, 66, 34, 70, 40, 95, 9, 99, 3, 27, 100, 3, 23, 83, 83, 44]
[75, 17, 49, 51, 28, 7, 44, 47, 5, 44, 43, 39, 4, 63, 84, 36, 77, 15, 45, 65, 55, 27, 0, 78, 64, 79, 19, 49, 26, 88, 24, 23, 27, 17, 67, 47, 81, 21, 31, 31, 24, 99, 39, 78, 89, 24, 93, 18, 31, 42, 79, 85, 71, 56, 10, 0, 98, 47, 82, 92, 75, 44, 59, 0, 66, 50, 2, 14, 56, 97, 15, 14, 62, 62, 49, 87, 71, 86, 54, 97, 1, 22, 41, 35, 50, 84, 89, 61, 86, 83, 6, 95, 73, 84, 9, 55, 12, 48, 38, 74]
[74, 90, 94, 84, 93, 0, 6, 60, 29, 9, 77, 27, 54, 20, 20, 39, 78, 52, 22, 45, 100, 49, 67, 58, 38, 78, 8, 70, 72, 19, 57, 94, 19, 37, 64, 13, 59, 44, 42, 63, 79, 59, 68, 85, 36, 97, 5, 50, 2, 2, 40, 88, 4, 2, 87, 56, 23, 35, 18, 27, 30, 59, 92, 52, 34, 83, 72, 53, 17, 34, 100, 75, 31, 5, 59, 90, 91, 88, 98, 75, 91, 51, 95, 30, 7, 1, 95, 94, 24, 66, 84, 57, 42, 93, 22, 33, 88, 54, 47, 37]
[54, 62, 38, 45, 53, 17, 95, 54, 73, 15, 34, 100, 96, 65, 47, 7, 23, 1, 17, 36, 15, 56, 2, 13, 89, 28, 60, 72, 57, 36, 25, 42, 90, 14, 96, 94, 66, 78, 82, 35, 14, 76, 100, 9, 53, 9, 86, 17, 68, 63, 83, 62, 78, 31, 99, 39, 99, 76, 78, 29, 81, 24, 37, 9, 21, 36, 3, 42, 92, 28, 65, 30, 97, 56, 28, 2, 25, 66, 53, 85, 87, 75, 50, 34, 69, 10, 49, 14, 20, 42, 31, 35, 66, 62, 73, 48, 10, 23, 9, 47]
[42, 62, 42, 41, 39, 47, 13, 86, 63, 33, 53, 76, 10, 59, 91, 26, 57, 22, 54, 82, 33, 75, 93, 6, 35, 63, 96, 3, 9, 63, 20, 8, 47, 25, 59, 87, 23, 65, 93, 19, 78, 41, 69, 38, 38, 82, 6, 69, 5, 19, 27, 72, 58, 99, 96, 42, 89, 96, 96, 58, 51, 89, 87, 13, 36, 59, 71, 33, 10, 52, 90, 87, 75, 52, 27, 86, 22, 43, 20, 21, 79, 73, 50, 68, 28, 82, 8, 93, 78, 28, 68, 98, 24, 42, 6, 29, 72, 87, 27, 99]
[62, 34, 2, 30, 41, 31, 87, 84, 61, 73, 52, 28, 83, 54, 24, 93, 85, 99, 45, 31, 33, 89, 77, 12, 90, 23, 57, 30, 10, 24, 55, 5, 10, 95, 10, 28, 74, 72, 24, 43, 84, 60, 48, 16, 26, 78, 53, 38, 21, 58, 56, 78, 39, 93, 48, 100, 94, 34, 16, 15, 90, 33, 56, 0, 16, 43, 66, 37, 25, 48, 48, 5, 87, 27, 47, 50, 45, 91, 43, 49, 44, 63, 100, 4, 78, 14, 28, 37, 15, 100, 48, 79, 93, 41, 57, 77, 28, 50, 40, 32]
[20, 7, 15, 49, 0, 4, 89, 46, 11, 8, 76, 17, 69, 43, 78, 7, 76, 39, 17, 5, 93, 7, 18, 27, 85, 23, 78, 85, 35, 50, 53, 15, 73, 5, 100, 78, 21, 60, 39, 55, 13, 84, 0, 13, 72, 90, 76, 42, 17, 29, 95, 64, 49, 55, 98, 18, 83, 5, 66, 75, 90, 84, 22, 65, 42, 29, 57, 69, 56, 63, 100, 66, 57, 17, 76, 61, 70, 29, 7, 41, 42, 92, 8, 25, 56, 100, 38, 15, 78, 99, 49, 84, 82, 19, 44, 63, 42, 11, 42, 95]
[21, 37, 99, 65, 91, 95, 57, 2, 62, 66, 90, 76, 14, 50, 55, 93, 7, 83, 40, 37, 12, 28, 27, 68, 7, 68, 48, 18, 80, 42, 52, 19, 88, 39, 69, 1, 19, 63, 33, 86, 9, 97, 38, 15, 28, 91, 90, 90, 0, 69, 33, 90, 33, 2, 50, 32, 81, 27, 8, 16, 45, 96, 51, 38, 48, 61, 96, 89, 84, 71, 66, 15, 87, 17, 52, 72, 92, 24, 28, 98, 60, 63, 85, 99, 17, 75, 62, 83, 36, 9, 34, 47, 20, 24, 21, 50, 57, 37, 25, 57]
[62, 23, 63, 91, 67, 35, 19, 60, 18, 90, 3, 18, 54, 35, 76, 54, 27, 58, 12, 12, 69, 16, 82, 22, 66, 73, 24, 94, 90, 15, 32, 81, 52, 82, 11, 58, 19, 6, 83, 80, 61, 57, 57, 12, 46, 74, 46, 7, 72, 93, 13, 27, 12, 80, 10, 9, 77, 22, 57, 84, 24, 3, 9, 52, 3, 23, 9, 76, 92, 65, 15, 57, 50, 45, 99, 95, 26, 74, 61, 52, 4, 49, 64, 14, 11, 56, 76, 90, 7, 85, 33, 91, 98, 28, 58, 33, 26, 15, 83, 4]
[65, 33, 60, 10, 99, 82, 62, 76, 96, 45, 22, 14, 15, 21, 92, 91, 92, 49, 41, 1, 18, 4, 62, 17, 75, 83, 44, 3, 37, 44, 11, 8, 49, 55, 21, 70, 82, 44, 72, 39, 56, 54, 56, 4, 25, 98, 62, 10, 15, 66, 9, 51, 82, 60, 99, 76, 8, 49, 15, 31, 61, 72, 42, 16, 96, 100, 54, 22, 99, 40, 15, 76, 0, 26, 68, 70, 31, 72, 93, 38, 19, 25, 69, 66, 30, 56, 43, 44, 54, 39, 73, 54, 2, 9, 8, 65, 88, 33, 8, 39]
